0.016714111,0.000312906,0.00011133,3.39E-05,1.94E-05,3.15E-05,7.27E-05,1.84E-05,2.96E-05,3.22E-05,3.07E-05,1.90E-05,2.33E-05,5.99E-05,1.40E-05,3.93E-05,4.94E-05,1.05E-05,1.35E-05,1.97E-05
2.74E-05,6.70E-05,3.26E-05,2.47E-05,2.30E-05,2.88E-05,1.69E-05,7.60E-06,5.63E-05,1.78E-05,1.08E-05,1.96E-05,5.07E-05,2.94E-05,3.71E-05,3.96E-05,7.80E-05,2.46E-05,4.44E-05,4.34E-05
4.27E-05,4.16E-05,6.29E-05,5.39E-05,1.50E-05,9.33E-06,4.89E-05,2.67E-05,4.36E-05,4.14E-05,1.87E-05,4.47E-05,1.69E-05,2.57E-05,1.76E-05,1.35E-05,1.32E-05,3.14E-05,3.09E-05,2.65E-05
2.04E-05,4.24E-05,7.75E-05,6.60E-05,3.67E-05,1.78E-05,6.72E-05,6.87E-05,3.07E-05,5.01E-05,1.17E-05,4.78E-05,2.97E-05,6.02E-05,4.15E-05,6.55E-05,3.66E-05,2.76E-05,6.93E-05,2.94E-05
3.04E-05,3.39E-05,4.41E-05,1.21E-05,4.03E-05,2.50E-05,3.14E-05,4.80E-05,3.77E-05,2.47E-05,5.99E-05,4.94E-05,6.08E-06,5.27E-05,5.07E-05,3.70E-05,2.25E-05,5.68E-06,6.18E-05,3.32E-05
2.41E-05,1.30E-06,2.81E-05,5.14E-05,1.39E-05,6.23E-05,1.26E-05,2.75E-05,2.46E-05,2.71E-05,2.36E-05,2.41E-05,2.61E-05,1.06E-05,7.50E-05,3.98E-05,3.95E-05,2.16E-05,1.06E-05,5.03E-05
2.04E-05,4.24E-05,7.75E-05,6.60E-05,3.67E-05,1.78E-05,6.72E-05,6.87E-05,3.07E-05,5.01E-05,1.17E-05,4.78E-05,2.97E-05,6.02E-05,4.15E-05,6.55E-05,3.66E-05,2.76E-05,6.93E-05,2.94E-05
7.76E-05,5.17E-05,3.87E-05,4.57E-06,2.16E-05,2.30E-05,2.47E-05,5.00E-05,4.87E-05,5.29E-05,5.52E-05,4.70E-05,3.87E-05,4.42E-05,9.66E-06,7.73E-05,5.30E-05,2.27E-05,8.70E-05,3.93E-05
3.04E-05,3.39E-05,4.41E-05,1.21E-05,4.03E-05,2.50E-05,3.14E-05,4.80E-05,3.77E-05,2.47E-05,5.99E-05,4.94E-05,6.08E-06,5.27E-05,5.07E-05,3.70E-05,2.25E-05,5.68E-06,6.18E-05,3.32E-05
3.62E-06,5.41E-05,7.80E-05,2.49E-05,3.44E-05,1.66E-05,4.17E-05,1.64E-05,3.40E-05,2.92E-05,4.87E-05,2.41E-05,1.65E-05,2.99E-05,3.73E-05,5.09E-05,1.36E-05,4.22E-05,7.04E-06,5.36E-05
2.31E-05,1.73E-05,3.94E-05,3.07E-05,1.32E-05,5.46E-05,3.89E-05,3.78E-05,1.90E-05,1.31E-06,1.77E-05,1.26E-05,1.27E-05,4.35E-05,2.81E-05,3.52E-05,4.42E-05,1.24E-05,2.91E-05,1.65E-05
3.07E-05,1.18E-05,3.11E-05,1.19E-05,1.41E-05,2.99E-05,2.40E-05,1.95E-05,3.40E-05,1.54E-05,3.69E-05,1.75E-05,4.60E-05,5.80E-05,4.66E-05,3.39E-05,3.59E-05,1.03E-05,3.65E-05,5.32E-05
3.97E-05,8.57E-05,3.21E-05,1.40E-05,1.61E-05,6.48E-05,2.15E-05,4.67E-05,2.80E-05,2.86E-05,4.15E-05,5.23E-05,4.82E-05,2.95E-05,7.42E-05,2.17E-05,1.19E-05,4.57E-05,1.47E-05,4.00E-05
1.30E-05,3.91E-05,3.74E-05,2.80E-05,2.79E-05,5.03E-05,3.13E-05,2.38E-05,5.04E-05,7.06E-05,4.36E-05,1.95E-05,5.02E-05,5.32E-05,2.27E-05,7.29E-06,2.67E-05,2.80E-05,3.08E-05,2.29E-05
2.29E-05,2.20E-05,1.71E-05,3.33E-05,9.91E-06,4.63E-05,2.90E-05,2.33E-05,3.88E-05,3.54E-05,1.45E-05,3.91E-05,3.29E-05,5.97E-05,6.47E-05,2.61E-05,5.43E-05,3.95E-05,3.26E-05,2.25E-05
2.93E-05,2.81E-05,1.68E-05,2.29E-05,4.63E-06,4.57E-05,7.23E-05,4.42E-05,4.42E-05,4.99E-06,2.58E-05,6.21E-05,2.20E-05,2.47E-05,5.18E-05,5.37E-05,5.64E-05,3.05E-05,3.79E-05,4.55E-05
7.73E-05,4.95E-05,3.46E-05,2.56E-05,3.47E-05,0.000100096,2.26E-05,1.72E-05,4.54E-05,2.22E-05,4.09E-05,2.89E-05,2.23E-05,2.87E-05,1.03E-05,2.25E-05,3.59E-05,3.97E-05,5.22E-06,1.54E-05
5.08E-05,2.84E-05,3.42E-05,4.47E-05,4.98E-06,4.91E-05,4.28E-05,1.55E-05,2.21E-05,4.05E-05,1.17E-05,3.55E-05,3.38E-05,5.06E-05,3.29E-05,1.99E-05,5.37E-05,2.28E-05,4.49E-05,3.34E-05
